sample_id,idx1,idx2,idx3,idx4,idx5,idx6,idx7,idx8,idx9,idx10,idx11,idx12,idx13,idx14,idx15,idx16,idx17,idx18,idx19,idx20,idx21,idx22,idx23,idx24,idx25
11-L2_D1_GAOX1_anterior_9-21-23_0,0.00368731520534207,0.0346937288557609,0.0921588701726582,0.170129847363943,0.293032683206179,0.415211813964177,0.549569810456728,0.752378959265398,0.91714885286804,0.992568210928088,1,0.972135069571977,0.951933138323711,0.9300409556762,0.934575681266025,0.972083227995515,0.996837913074138,0.95240785429792,0.83074364996767,0.638840506648391,0.390024368033321,0.186786944662689,0.088010048625571,0.0394697171668146,0
11-L2_D1_GAOX1_anterior_9-21-23_1,0,0.0556090495403931,0.105281876412316,0.131422286211115,0.175997074624833,0.244352005014377,0.380879814549178,0.533677910785715,0.66675592167547,0.782711880244084,0.852246944545115,0.884102471671595,0.877259373043523,0.86963024281628,0.91059521340438,0.973102351189406,0.98029639342964,1,0.971221839099054,0.838493866394185,0.681946275084259,0.523463785685606,0.34488242277625,0.127844857827111,0.0119563234096468
11-L2_D1_GAOX1_anterior_9-21-23_2,0,0.0210270046894034,0.0561691302338986,0.126786410005407,0.217281100019933,0.31790214747395,0.395318988018379,0.500435416050455,0.580120578224709,0.658517365237236,0.725958882141228,0.718731326595964,0.693673395123276,0.669934856189609,0.737603233403024,0.881381837105779,0.980263941180544,1,0.944813499528181,0.86678261624053,0.798419472292897,0.658962416752446,0.449053357338369,0.217595101708757,0.0493198628472748
11-L2_D1_GAOX1_anterior_9-21-23_3,0,0.0241707460678597,0.0565322587599979,0.15594835689769,0.276013581583581,0.386127425884781,0.515418833113553,0.591248312445022,0.682473888957706,0.788902356226588,0.849156496910265,0.901171753112863,0.965916044433852,0.988887470070889,1,0.993994087873594,0.933441783077254,0.858866504013284,0.808568951309912,0.752444559169436,0.687212065968003,0.579887119144822,0.403392388393141,0.202785139733646,0.0328177340010903
11-L2_D1_GAOX1_anterior_9-21-23_4,0,0.0201326664539223,0.0227168861993973,0.0537826541755984,0.190758601087318,0.341574896734975,0.44495352687521,0.587106870493362,0.695413293807202,0.73042900457392,0.708528423484028,0.738010719768404,0.831351591460645,0.918037062812978,0.94458858342331,1,0.993868642322819,0.894704830628412,0.757292068773276,0.657135365862898,0.56845077788265,0.45799029843851,0.331569785164691,0.209425322506541,0.0842060398139537
12-L2-1_D1_GAOX1_RFP_anterior_9_0,0.871215309796244,0.858628648528541,0.672453516865332,0.646710158135084,0.705226666784605,0.788725830690569,0.864268075573368,0.860980866849782,0.923672399216004,0.944449235696944,0.926145832130401,0.960123920627046,0.991314564891618,1,0.94866136090736,0.865660651064874,0.858369838991803,0.850397931947998,0.825153928200501,0.823880929267108,0.825075056813198,0.735774218491434,0.423173003282377,0.0639248908515825,0
12-L2-1_D1_GAOX1_RFP_anterior_9_1,0.943541164519832,1,0.893710452582598,0.745222968221243,0.64425721481423,0.559853612838243,0.520053100551871,0.543845307719587,0.572643598609975,0.699365352233375,0.751660465591547,0.72251784544339,0.719649866089407,0.72418625379213,0.745974310117871,0.777683514184906,0.79812001377317,0.812461995900188,0.86451152779272,0.887715418921868,0.852015086699948,0.729124256738862,0.441549096482236,0.134424572081656,0
12-L2-1_D1_GAOX1_RFP_anterior_9_2,0.458435989938353,0.423775646672232,0.5519867827234,0.78540422188203,0.908161454820034,0.974264557967445,1,0.975933960194554,0.844945189639689,0.718807351878714,0.529489301755444,0.477415969875669,0.495077670683408,0.501151189619834,0.481656094781142,0.418536343666509,0.36651757619666,0.309183593265692,0.26957714672325,0.213536586631152,0.135139397885095,0.0731787112811955,0.0430322853358857,0.0236846860840825,0
12-L2-1_D1_GAOX1_RFP_anterior_9_3,0.30537182934211,0.297982178075818,0.298965887930352,0.349351653501934,0.480438740576774,0.579724510940476,0.705262936087068,0.833416022874381,0.939026914375031,0.969379991578106,0.99028008745447,1,0.952649922799304,0.874747402654562,0.824302636243169,0.767375390464227,0.711108573440582,0.636445389726717,0.535189004908013,0.415802232991461,0.286531392967005,0.157155874033207,0.0470793394760821,0.00602474704579464,0
12-L2-1_D1_GAOX1_RFP_anterior_9_4,0.818186553736467,0.837686609393328,0.954795466461858,0.986845446633132,1,0.972106455606755,0.910448265629888,0.914578345791272,0.869331953332575,0.789995345908167,0.68119160874374,0.577894645127823,0.523983456114333,0.529504182636362,0.495250562847449,0.465726070882966,0.472892318081907,0.490930722246218,0.463236860407322,0.445233803775923,0.386724334822994,0.233418363787507,0.101013947082263,0.00767041464206441,0
